Fitt,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0.037585877860294443,15,0.775619559509702,5,0.3058192617075188,600,7,0,0.2240893968827766,187,4,0,0.14592835283808323,449,5,0,0.42230152199272664,542,7,0,0.10890188440058984,361,6,0,0.0009963854665735953,82,10,0
1.5539520475722943,50,1.0,5,0.12562741548251014,535,8,0,0.42137156055576114,57,0,0,0.19751213179447505,169,5,0,0.26043822167542274,414,0,0,0.14399213201565614,145,6,0,0.003022369248606573,45,4,0
4.170463576367075,49,0.8917050384119913,5,0.29058888365588176,425,4,0,0.4071633394465817,90,5,0,0.13343262298373615,207,5,0,0.31748886688159683,500,9,0,0.13815131360547858,344,6,0,0.0033212848885786515,600,6,0
1.5386278055556128,29,0.2881589816559223,2,0.09549811563132356,586,5,0,0.24688991315260397,450,0,0,0.3918276163076949,500,9,0,0.1920063041236695,211,9,0,0.028061648760370206,528,6,0,0.0,600,4,0
0.06902711216216258,43,0.8912547578231543,5,0.18708631528158437,308,3,0,0.5,162,3,0,0.12345158103068489,147,4,0,0.2541908148528551,570,0,0,0.2441547943459763,342,6,0,0.013837085414023773,561,10,0
4.8067686920526755,47,1.0,5,0.1239899714587258,461,7,0,0.5,147,0,0,0.20237722111915535,81,4,0,0.43232204817285663,346,7,0,0.0851796327651044,351,6,0,0.0009963854665735953,325,8,0
0.03409123873274365,44,0.9692761975364531,5,0.3078779038837827,439,4,0,0.20370885889175394,180,5,0,0.13025733636162268,72,4,0,0.2461052776390919,600,0,0,0.07920123304196415,364,7,0,0.0,45,10,0
0.03188912883230854,34,0.5960996675360296,5,0.0,600,5,0,0.15014428629568477,108,6,0,0.1048218679294001,444,4,0,0.43057483746077174,540,1,0,0.0716973695766551,451,6,0,0.0009963854665735953,45,10,0
1.5420725411619247,15,0.7653759649361148,5,0.14047028104831197,480,5,0,0.14211817617280315,212,7,0,0.1807770281668058,174,5,0,0.3260343925792583,306,7,0,0.06479030688581128,434,8,0,0.003231610196587028,600,4,0
4.063504364421888,44,0.7918597920296013,6,0.006723128592472285,403,1,0,0.22785168719713442,45,8,0,0.1075332498116017,517,9,0,0.4288635325583145,208,5,0,0.1508975495750328,228,0,0,0.0002989156399720786,477,10,0
1.5454676390243316,39,0.27110167408020763,5,0.2837267430683353,600,4,0,0.1094025418161999,114,0,0,0.40236096885759876,235,3,0,0.3096679772972112,241,7,0,0.0,470,6,0,0.0,600,4,0
0.04041267876568603,42,0.8019683024265374,5,0.022940394752723067,565,4,0,0.15360409230838956,153,6,0,0.06969026189696377,45,3,0,0.44343122958687187,224,8,0,0.16002484905046993,344,5,0,0.0,45,10,0
0.043906052139537216,48,0.24749018293308134,5,0.2842179762754706,600,3,0,0.0,194,0,0,0.24959487407947803,63,3,0,0.20563182475766392,515,5,0,0.28403989846358574,455,6,0,0.0,516,10,0
2.002506820251229,21,0.8038758953558734,2,0.13386929465002012,543,7,0,0.21631900048811847,133,0,0,0.38755959278746765,81,10,0,0.24705650823444603,330,9,0,0.04779603348644272,402,8,0,0.003231610196587028,600,3,0
0.04526200912919318,45,0.7429724705663822,5,0.23006325388759136,482,8,0,0.19750502332628295,45,0,0,0.3184202306318631,165,3,0,0.2795070315728585,252,0,0,0.22471770228023294,353,6,0,0.0,198,10,0
